topic,question,answer
כבוד ועונג שבת,מה השכר של מי שמכבד את השבת,
כבוד ועונג שבת,מה זה עונג שבת בגוף,
כבוד ועונג שבת,חייבים לאכול ממתקים בשבת,
כבוד ועונג שבת,למה אוכלים דגים בשבת,
כבוד ועונג שבת,כמה כסף צריך להוציא על שבת,
כבוד ועונג שבת,מי שאין לו כסף חייב להוציא על שבת,
כבוד ועונג שבת,צריך לכוון כוונה מיוחדת במצוות שבת,
כבוד ועונג שבת,למה צריך שמחה בשבת,
כבוד ועונג שבת,מותר לריב בשבת,
כבוד ועונג שבת,מה זה כבוד שבת ומה זה עונג שבת,
ההכנות לשבת,מתי מתחילים להתכונן לשבת,
ההכנות לשבת,למה מכינים חלות לכבוד שבת,
ההכנות לשבת,צריך להפריש חלה מהבצק,
ההכנות לשבת,מה עושים עם החלה שהפרשתי,
ההכנות לשבת,צריך להפריש תרומות ומעשרות בערב שבת,
ההכנות לשבת,חייבים לנקות את הבית לפני שבת,
ההכנות לשבת,למה שמים מפה יפה בשבת,
ההכנות לשבת,נוהגים לשים פרחים בשבת,
ההכנות לשבת,מותר להסתפר בערב שבת,
ההכנות לשבת,מותר לגזוז ציפורניים בערב שבת,
ההכנות לשבת,צריך להתקלח לפני שבת,
ההכנות לשבת,חייבים ללכת למקווה בערב שבת,
ההכנות לשבת,צריך ללבוש בגדים מיוחדים בשבת,
ההכנות לשבת,למה לובשים לבן בשבת,
ההכנות לשבת,צריך לצחצח נעליים לשבת,
ההכנות לשבת,למה ממשמשים בכיסים לפני שבת,
ההכנות לשבת,למה צריך להיזהר ממחלוקת בערב שבת,
ההכנות לשבת,עדיף להקדים את קבלת השבת,
ההכנות לשבת,למה טועמים מהתבשילים בערב שבת,
סעודה בערב שבת,מותר לאכול סעודה גדולה בערב שבת,
סעודה בערב שבת,עד מתי אפשר לאכול לפני שבת,
סעודה בערב שבת,מותר לעשות ברית מילה בערב שבת,
סעודה בערב שבת,אפשר לעשות פדיון הבן בערב שבת,
סעודה בערב שבת,מותר לעשות בר מצווה בערב שבת,
סעודה בערב שבת,אפשר לעשות סיום מסכת בערב שבת,
סעודה בערב שבת,מותר לעשות חתונה בערב שבת,
סעודה בערב שבת,אפשר לעשות אירוסין בערב שבת,
